Lat,Lng,Alt
34.1197699,-118.75301809999999,232.55
34.1197702,-118.75301859999999,232.71
34.1197707,-118.7530194,232.77
34.1197708,-118.7530194,232.76
34.1197709,-118.75301929999999,232.79
34.1197708,-118.7530194,232.81
34.119770599999995,-118.75301959999999,232.8
34.119770599999995,-118.75301959999999,232.82
34.119770599999995,-118.7530197,232.77
34.119770599999995,-118.7530197,232.75
34.1197708,-118.7530197,232.77
34.1197709,-118.75301959999999,232.76
34.1197711,-118.7530195,232.78
34.119771199999995,-118.7530195,232.77
34.119771199999995,-118.7530194,232.75
34.119771199999995,-118.7530195,232.68
34.119771199999995,-118.7530194,232.64000000000001
34.119771199999995,-118.7530194,232.58
34.1197713,-118.75301929999999,232.5
34.1197714,-118.75301909999999,232.48000000000002
34.1197714,-118.753019,232.44
34.1197715,-118.753019,232.36
34.1197715,-118.75301909999999,232.28
34.1197715,-118.7530192,232.20000000000002
34.1197715,-118.7530192,232.11
34.1197714,-118.7530192,232.05
34.1197711,-118.75301909999999,231.97
34.1197708,-118.75301909999999,231.96
34.1197704,-118.75301909999999,232.04
34.1197697,-118.753019,232.06
34.119769,-118.7530187,232.13
34.1197684,-118.75301859999999,232.24
34.1197679,-118.75301859999999,232.45000000000002
34.1197679,-118.75301879999999,232.65
34.119768199999996,-118.7530189,232.89000000000001
34.119768799999996,-118.7530183,233.18
34.1197693,-118.7530175,233.45000000000002
34.119769999999995,-118.75301669999999,233.91
34.1197707,-118.75301639999999,234.23000000000002
34.1197716,-118.75301599999999,234.65
34.119772399999995,-118.75301569999999,234.92000000000002
34.119773099999996,-118.7530152,235.31
34.1197738,-118.7530152,235.67000000000002
34.1197747,-118.75301499999999,236.05
34.1197754,-118.75301479999999,236.34
34.119776099999996,-118.7530144,236.63
34.1197769,-118.7530142,237.12
34.1197775,-118.75301429999999,237.29
34.1197783,-118.75301379999999,237.63
34.1197789,-118.75301359999999,238.07
34.119779099999995,-118.7530135,238.35
34.1197795,-118.7530134,238.71
34.11978,-118.75301329999999,239.09
34.1197805,-118.7530132,239.28
34.119780999999996,-118.75301309999999,239.66
34.1197813,-118.75301309999999,240.05
34.1197815,-118.75301309999999,240.47
34.1197818,-118.7530132,240.75
34.1197821,-118.75301329999999,241.08
34.119782,-118.7530135,241.49
34.1197818,-118.75301359999999,241.78
34.1197818,-118.7530137,242.24
34.1197817,-118.75301379999999,242.71
34.1197812,-118.75301429999999,243.09
34.1197808,-118.75301499999999,243.46
34.119780299999995,-118.7530151,243.78
34.11978,-118.75301499999999,244.19
34.1197796,-118.7530153,244.48000000000002
34.1197793,-118.75301549999999,244.78
34.119779099999995,-118.75301549999999,245.14000000000001
34.119779,-118.7530154,245.65
34.119779,-118.7530154,246.24
34.1197788,-118.75301549999999,246.57
34.1197788,-118.7530152,246.95000000000002
34.1197788,-118.75301449999999,247.32
34.1197788,-118.75301449999999,247.76000000000002
34.119779199999996,-118.7530149,248.23000000000002
34.1197796,-118.7530151,248.74
34.119779799999996,-118.75301499999999,249.08
34.1197802,-118.7530151,249.51000000000002
34.119780399999996,-118.7530152,249.89000000000001
34.1197807,-118.7530151,250.28
34.119780999999996,-118.7530154,250.70000000000002
34.1197813,-118.7530156,251.12
34.1197813,-118.7530156,251.44
34.1197813,-118.75301569999999,251.93
34.1197811,-118.7530159,252.36
34.119780899999995,-118.75301599999999,252.81
34.1197806,-118.7530159,253.26000000000002
34.119780299999995,-118.75301569999999,253.66
34.1197801,-118.7530156,253.88
34.1197801,-118.7530154,254.11
34.11978,-118.7530154,254.35
34.1197799,-118.7530156,254.66
34.119780399999996,-118.7530158,254.86
34.1197812,-118.75301639999999,255.01000000000002
34.1197823,-118.75301719999999,255.17000000000002
34.1197841,-118.75301789999999,255.31
34.1197863,-118.7530185,255.55
34.119788899999996,-118.7530192,255.81
34.1197917,-118.7530195,256.02
34.1197948,-118.7530199,256.27
34.119797999999996,-118.7530204,256.57
34.119800999999995,-118.75302099999999,256.84000000000003
34.1198042,-118.75302149999999,257.15
34.1198074,-118.7530218,257.41
34.119810699999995,-118.7530223,257.77
34.119814,-118.75302289999999,258.1
34.1198176,-118.7530233,258.38
34.1198212,-118.75302409999999,258.76
34.1198249,-118.75302529999999,259.12
34.1198287,-118.7530266,259.51
34.1198323,-118.7530276,259.91
34.1198361,-118.7530288,260.3
34.119839899999995,-118.75303,260.65
34.119843599999996,-118.7530311,261.01
34.1198474,-118.7530323,261.34000000000003
34.119851499999996,-118.75303369999999,261.67
34.1198554,-118.7530352,262.12
34.1198592,-118.75303679999999,262.56
34.119863099999996,-118.7530386,263.02
34.119867,-118.7530403,263.41
34.1198707,-118.753042,263.82
34.1198744,-118.7530439,264.23
34.119878199999995,-118.753046,264.69
34.119881899999996,-118.75304799999999,265.18
34.1198857,-118.7530501,265.63
34.1198895,-118.7530525,266.08
34.119893,-118.7530546,266.57
34.119896499999996,-118.7530565,267.04
34.1199,-118.7530582,267.5
34.1199037,-118.75305999999999,267.95
34.1199073,-118.75306189999999,268.41
34.1199108,-118.7530637,268.87
34.1199145,-118.75306549999999,269.36
34.1199181,-118.7530671,269.82
34.1199217,-118.75306839999999,270.24
34.1199256,-118.7530697,270.69
34.1199292,-118.75307079999999,271.1
34.1199328,-118.7530723,271.59000000000003
34.1199364,-118.7530738,272.07
34.1199401,-118.7530748,272.46
34.1199438,-118.7530759,272.86
34.119947499999995,-118.7530773,273.33
34.1199514,-118.7530785,273.79
34.119955499999996,-118.7530797,274.23
34.1199594,-118.7530809,274.67
